,,,Breakfast at the Frat: A Time Series Analysis,,,,,,,,,,,
7110410455,MKSL MINI TWIST PRETZELS,MKSL,BAG SNACKS,PRETZELS,16 OZ,,,,,,,,,
7110410470,MKSL DUTCH PRETZELS,MKSL,BAG SNACKS,PRETZELS,16 OZ,,,,,,,,,
7110410471,MKSL PRETZEL STICKS,MKSL,BAG SNACKS,PRETZELS,16 OZ,,,,,,,,,
7192100336,DIGIORNO THREE MEAT,TOMBSTONE,FROZEN PIZZA,PIZZA/PREMIUM,29.8 OZ,,,,,,,,,
7192100337,DIGRN SUPREME PIZZA,TOMBSTONE,FROZEN PIZZA,PIZZA/PREMIUM,32.7 OZ,,,,,,,,,
7192100339,DIGRN PEPP PIZZA,TOMBSTONE,FROZEN PIZZA,PIZZA/PREMIUM,28.3 OZ,,,,,,,,,
7218063052,FRSC BRCK OVN ITL PEP PZ,TONYS,FROZEN PIZZA,PIZZA/PREMIUM,22.7 OZ,,,,,,,,,
7218063979,FRSC PEPPERONI PIZZA,TONYS,FROZEN PIZZA,PIZZA/PREMIUM,27.35 OZ,,,,,,,,,
7218063983,FRSC 4 CHEESE PIZZA,TONYS,FROZEN PIZZA,PIZZA/PREMIUM,26.11 OZ,,,,,,,,,
7797502248,SNYDR PRETZEL RODS,SNYDER S,BAG SNACKS,PRETZELS,10 OZ,,,,,,,,,
7797508004,SNYDR SOURDOUGH NIBBLERS,SNYDER S,BAG SNACKS,PRETZELS,16 OZ,,,,,,,,,
7797508006,SNYDR FF MINI PRETZELS,SNYDER S,BAG SNACKS,PRETZELS,16 OZ,,,,,,,,,
31254742725,LSTRNE CL MINT ANTSPTC MW,WARNER,ORAL HYGIENE PRODUCTS,MOUTHWASHES (ANTISEPTIC),500 ML,,,,,,,,,
31254742735,LSTRNE CL MINT ANTSPTC MW,WARNER,ORAL HYGIENE PRODUCTS,MOUTHWASHES (ANTISEPTIC),1 LT,,,,,,,,,
31254742835,LSTRNE FRS BRST ANTSPC MW,WARNER,ORAL HYGIENE PRODUCTS,MOUTHWASHES (ANTISEPTIC),1 LT,,,,,,,,,
88491201426,POST HNY BN OTS HNY RSTD,POST FOODS,COLD CEREAL,ADULT CEREAL,18 OZ,,,,,,,,,
88491201427,POST FM SZ HNYBNCH OT ALM,POST FOODS,COLD CEREAL,ADULT CEREAL,18 OZ,,,,,,,,,
88491212971,POST FRUITY PEBBLES,POST FOODS,COLD CEREAL,KIDS CEREAL,11 OZ,,,,,,,,,
